iter	Passed	Remaining
169	3538	17276
170	3562	17271
171	3584	17255
172	3605	17235
173	3624	17204
174	3642	17173
175	3661	17141
176	3681	17118
177	3701	17095
178	3718	17057
179	3734	17014
180	3753	16984
181	3775	16971
182	3795	16946
183	3816	16926
184	3834	16893
185	3854	16866
186	3871	16833
187	3889	16800
188	3907	16766
189	3925	16734
190	3944	16708
191	3961	16671
192	3980	16645
193	4001	16626
194	4026	16621
195	4045	16596
196	4066	16576
197	4085	16549
198	4105	16525
199	4124	16499
200	4142	16466
201	4161	16440
202	4180	16412
203	4205	16410
204	4226	16389
205	4248	16374
206	4267	16348
207	4287	16324
208	4305	16294
209	4322	16259
210	4342	16236
211	4366	16228
212	4385	16204
213	4403	16174
214	4428	16170
215	4450	16155
216	4468	16125
217	4487	16098
218	4505	16067
219	4522	16032
220	4540	16005
221	4558	15975
222	4576	15945
223	4593	15914
224	4618	15907
225	4637	15883
226	4655	15854
227	4673	15825
228	4691	15796
229	4709	15765
230	4727	15738
231	4744	15705
232	4762	15676
233	4781	15652
234	4799	15623
235	4817	15595
236	4839	15579
237	4861	15564
238	4882	15545
239	4902	15524
240	4921	15498
241	4939	15472
242	4956	15439
243	4976	15417
244	4994	15390
245	5014	15371
246	5038	15361
247	5061	15348
248	5079	15320
249	5096	15289
250	5114	15260
251	5132	15234
252	5149	15204
253	5169	15181
254	5186	15152
255	5205	15127
256	5223	15102
257	5243	15080
258	5265	15065
259	5285	15041
260	5304	15019
261	5322	14991
262	5342	14970
263	5359	14942
264	5376	14912
265	5394	14886
266	5414	14865
267	5433	14841
268	5453	14819
269	5472	14796
270	5489	14767
271	5509	14745
272	5529	14724
273	5550	14706
274	5569	14682
275	5586	14653
276	5603	14625
277	5621	14598
278	5638	14572
279	5659	14552
280	5682	14540
281	5701	14517
282	5722	14498
283	5741	14474
284	5758	14447
285	5776	14420
286	5793	14393
287	5811	14366
288	5830	14343
289	5849	14320
290	5870	14304
291	5896	14297
292	5913	14270
293	5933	14249
294	5951	14223
295	5970	14200
296	5990	14180
297	6008	14154
298	6025	14126
299	6043	14101
300	6061	14075
301	6083	14061
302	6107	14050
303	6126	14026
304	6144	14002
305	6163	13977
306	6182	13954
307	6199	13929
308	6218	13905
309	6235	13879
310	6253	13854
311	6271	13828
312	6289	13804
313	6312	13791
314	6333	13772
315	6351	13749
316	6371	13727
317	6389	13703
318	6408	13680
319	6427	13657
320	6445	13634
321	6462	13607
322	6479	13581
323	6500	13563
324	6522	13547
325	6543	13529
326	6561	13504
327	6580	13482
328	6601	13463
329	6619	13440
330	6636	13413
331	6653	13388
332	6671	13362
333	6689	13339
334	6713	13326
335	6734	13308
336	6756	13292
337	6774	13268
338	6793	13245
339	6810	13220
340	6827	13195
341	6845	13170
342	6864	13149
343	6882	13125
344	6901	13102
345	6921	13082
346	6941	13063
347	6963	13047
348	6983	13027
349	7003	13005
350	7020	12981
351	7038	12958
352	7058	12936
353	7076	12914
354	7095	12891
355	7113	12867
356	7132	12846
357	7152	12827
358	7175	12811
359	7193	12789
360	7211	12764
361	7230	12743
362	7248	12719
363	7267	12698
364	7284	12672
365	7303	12651
366	7321	12628
367	7342	12610
368	7363	12592
369	7386	12577
370	7404	12554
371	7423	12531
372	7443	12512
373	7461	12489
374	7479	12465
375	7496	12440
376	7513	12415
377	7531	12393
378	7554	12378
379	7574	12358
380	7593	12336
381	7612	12315
382	7630	12292
383	7647	12268
384	7666	12246
385	7685	12224
386	7703	12202
387	7722	12180
388	7740	12158
389	7761	12140
390	7781	12120
391	7804	12105
392	7823	12083
393	7841	12060
394	7861	12040
395	7880	12019
396	7897	11996
397	7916	11973
398	7934	11951
399	7951	11926
400	7974	11911
401	7996	11895
402	8016	11875
403	8034	11853
404	8052	11830
405	8070	11806
406	8089	11786
407	8109	11767
408	8128	11746
409	8147	11723
410	8164	11700
411	8185	11682
412	8206	11663
413	8228	11647
414	8247	11626
415	8266	11605
416	8286	11584
417	8305	11564
418	8323	11541
419	8342	11519
420	8362	11500
421	8379	11477
422	8404	11463
423	8426	11446
424	8445	11426
425	8464	11404
426	8481	11381
427	8500	11360
428	8518	11338
429	8535	11314
430	8553	11292
431	8570	11269
432	8590	11248
433	8608	11226
434	8631	11211
435	8655	11196
436	8674	11175
437	8693	11154
438	8712	11133
439	8729	11109
440	8745	11085
441	8764	11064
442	8783	11043
443	8802	11022
444	8825	11006
445	8845	10987
446	8865	10967
447	8883	10946
448	8906	10929
449	8926	10909
450	8944	10887
451	8964	10868
452	8983	10847
453	9000	10824
454	9018	10802
455	9041	10786
456	9062	10768
457	9083	10749
458	9102	10728
459	9119	10705
460	9139	10685
461	9157	10664
462	9176	10643
463	9195	10622
464	9214	10601
465	9231	10578
466	9254	10562
467	9275	10544
468	9297	10526
469	9315	10505
470	9333	10483
471	9353	10463
472	9373	10443
473	9391	10422
474	9409	10400
475	9426	10377
476	9443	10354
477	9466	10337
478	9486	10318
479	9506	10298
480	9525	10278
481	9543	10255
482	9562	10235
483	9579	10212
484	9597	10191
485	9617	10172
486	9634	10149
487	9652	10127
488	9671	10106
489	9694	10090
490	9713	10069
491	9733	10050
492	9750	10026
493	9769	10007
494	9787	9985
495	9805	9963
496	9822	9940
497	9841	9920
498	9858	9897
499	9878	9878
500	9902	9862
501	9923	9844
502	9940	9822
503	9959	9801
504	9978	9781
505	9997	9760
506	10014	9737
507	10033	9717
508	10051	9696
509	10069	9674
510	10089	9655
511	10111	9637
512	10130	9617
513	10148	9595
514	10167	9574
515	10184	9552
516	10203	9532
517	10220	9510
518	10240	9490
519	10257	9468
520	10277	9448
521	10298	9430
522	10318	9411
523	10340	9392
524	10360	9373
525	10379	9353
526	10398	9333
527	10416	9311
528	10433	9289
529	10451	9268
530	10469	9246
531	10488	9226
532	10508	9207
533	10530	9189
534	10549	9169
535	10568	9148
536	10587	9128
537	10604	9106
538	10623	9085
539	10642	9066
540	10659	9043
541	10676	9022
542	10695	9001
543	10716	8982
544	10736	8963
545	10758	8946
546	10777	8925
547	10795	8904
548	10815	8885
549	10834	8864
550	10853	8844
551	10872	8823
552	10889	8802
553	10908	8781
554	10933	8766
555	10952	8746
556	10973	8727
557	10991	8706
558	11009	8685
559	11029	8666
560	11047	8645
561	11064	8623
562	11083	8602
563	11102	8582
564	11119	8561
565	11140	8542
566	11162	8524
567	11182	8504
568	11200	8484
569	11220	8464
570	11238	8443
571	11257	8423
572	11275	8402
573	11293	8381
574	11309	8359
575	11326	8337
576	11346	8318
577	11368	8300
578	11390	8281
579	11410	8262
580	11428	8242
581	11448	8222
582	11466	8201
583	11484	8180
584	11502	8160
585	11520	8139
586	11538	8118
587	11561	8100
588	11586	8084
589	11605	8065
590	11624	8045
591	11642	8023
592	11661	8003
593	11680	7983
594	11697	7962
595	11717	7942
596	11735	7922
597	11754	7901
598	11778	7885
599	11801	7867
600	11820	7847
601	11841	7828
602	11860	7808
603	11879	7788
604	11897	7767
605	11915	7746
606	11934	7727
607	11953	7706
608	11972	7686
609	11993	7667
610	12014	7649
611	12033	7629
612	12051	7608
613	12069	7587
614	12088	7567
615	12106	7546
616	12124	7526
617	12141	7504
618	12159	7484
619	12176	7463
620	12195	7443
621	12219	7426
622	12241	7407
623	12260	7387
624	12281	7368
625	12301	7349
626	12320	7329
627	12338	7308
628	12357	7288
629	12376	7268
630	12396	7249
631	12420	7232
632	12441	7213
633	12461	7193
634	12479	7173
635	12499	7153
636	12517	7133
637	12535	7112
638	12551	7090
639	12570	7070
640	12588	7050
641	12609	7031
642	12631	7013
643	12653	6994
644	12674	6976
645	12692	6955
646	12711	6935
647	12727	6913
648	12745	6893
649	12763	6872
650	12780	6851
651	12797	6830
652	12819	6812
653	12842	6794
654	12862	6774
655	12880	6754
656	12898	6733
657	12916	6713
658	12936	6693
659	12953	6673
660	12972	6653
661	12990	6632
662	13008	6611
663	13028	6592
664	13052	6575
665	13074	6556
666	13092	6536
667	13110	6516
668	13128	6495
669	13146	6475
670	13163	6454
671	13181	6433
672	13199	6413
673	13219	6393
674	13239	6374
675	13260	6355
676	13284	6337
677	13303	6318
678	13323	6298
679	13342	6278
680	13361	6258
681	13378	6238
682	13396	6217
683	13415	6197
684	13433	6177
685	13454	6158
686	13476	6140
687	13495	6119
688	13513	6099
689	13532	6079
690	13550	6059
691	13567	6038
692	13586	6018
693	13603	5998
694	13622	5978
695	13640	5957
696	13660	5938
697	13681	5919
698	13702	5900
699	13720	5880
700	13739	5860
701	13757	5840
702	13775	5819
703	13794	5799
704	13813	5779
705	13831	5759
706	13847	5738
707	13869	5720
708	13891	5701
709	13912	5682
710	13931	5662
711	13952	5643
712	13970	5623
713	13990	5603
714	14007	5583
715	14026	5563
716	14044	5543
717	14061	5522
718	14082	5503
719	14105	5485
720	14124	5465
721	14142	5445
722	14160	5425
723	14179	5405
724	14198	5385
725	14217	5365
726	14234	5345
727	14254	5325
728	14272	5305
729	14294	5286
730	14314	5267
731	14336	5248
732	14359	5230
733	14376	5210
734	14397	5190
735	14415	5170
736	14433	5150
737	14451	5130
738	14470	5110
739	14489	5090
740	14513	5072
741	14535	5054
742	14554	5034
743	14575	5015
744	14593	4995
745	14612	4975
746	14631	4955
747	14649	4935
748	14667	4915
749	14685	4895
750	14702	4874
751	14725	4856
752	14748	4837
753	14768	4818
754	14787	4798
755	14805	4778
756	14823	4758
757	14842	4738
758	14858	4718
759	14876	4697
760	14896	4678
761	14915	4658
762	14936	4639
763	14957	4620
764	14980	4601
765	14999	4581
766	15018	4562
767	15035	4541
768	15057	4522
769	15073	4502
770	15091	4482
771	15109	4462
772	15128	4442
773	15155	4425
774	15174	4405
775	15194	4385
776	15212	4366
777	15230	4346
778	15250	4326
779	15268	4306
780	15285	4286
781	15304	4266
782	15319	4245
783	15337	4225
784	15358	4206
785	15381	4187
786	15402	4168
787	15422	4149
788	15441	4129
789	15460	4109
790	15477	4089
791	15496	4069
792	15514	4049
793	15533	4029
794	15551	4010
795	15575	3991
796	15600	3973
797	15620	3953
798	15637	3933
799	15656	3914
800	15676	3894
801	15695	3875
802	15715	3855
803	15733	3835
804	15752	3815
805	15774	3796
806	15800	3778
807	15828	3761
808	15851	3742
809	15876	3724
810	15896	3704
811	15915	3684
812	15933	3664
813	15951	3644
814	15970	3625
815	15995	3606
816	16015	3587
817	16035	3567
818	16055	3548
819	16073	3528
820	16093	3508
821	16111	3488
822	16134	3470
823	16154	3450
824	16174	3431
825	16194	3411
826	16221	3393
827	16246	3374
828	16267	3355
829	16289	3336
830	16311	3317
831	16331	3297
832	16349	3277
833	16369	3258
834	16390	3238
835	16416	3220
836	16443	3202
837	16466	3183
838	16485	3163
839	16517	3146
840	16540	3127
841	16560	3107
842	16582	3088
843	16604	3069
844	16629	3050
845	16662	3033
846	16692	3015
847	16727	2998
848	16763	2981
849	16793	2963
850	16814	2944
851	16840	2925
852	16861	2905
853	16882	2886
854	16904	2866
855	16924	2847
856	16946	2827
857	16968	2808
858	16992	2789
859	17018	2770
860	17044	2751
861	17070	2732
862	17094	2713
863	17120	2694
864	17145	2675
865	17170	2656
866	17202	2638
867	17232	2620
868	17263	2602
869	17283	2582
870	17301	2562
871	17323	2542
872	17343	2523
873	17364	2503
874	17386	2483
875	17407	2464
876	17427	2444
877	17450	2424
878	17475	2405
879	17496	2385
880	17516	2366
881	17537	2346
882	17559	2326
883	17578	2306
884	17597	2286
885	17619	2267
886	17637	2247
887	17657	2227
888	17684	2208
889	17713	2189
890	17736	2169
891	17759	2150
892	17780	2130
893	17803	2110
894	17825	2091
895	17844	2071
896	17865	2051
897	17887	2031
898	17908	2011
899	17932	1992
900	17960	1973
901	17986	1954
902	18017	1935
903	18042	1915
904	18066	1896
905	18089	1876
906	18115	1857
907	18134	1837
908	18154	1817
909	18179	1797
910	18201	1778
911	18223	1758
912	18241	1738
913	18263	1718
914	18280	1698
915	18306	1678
916	18327	1658
917	18350	1639
918	18372	1619
919	18394	1599
920	18419	1579
921	18442	1560
922	18468	1540
923	18495	1521
924	18522	1501
925	18543	1481
926	18563	1461
927	18584	1441
928	18605	1421
929	18626	1402
930	18646	1381
931	18665	1361
932	18687	1341
933	18706	1321
934	18731	1302
935	18753	1282
936	18775	1262
937	18794	1242
938	18813	1222
939	18840	1202
940	18863	1182
941	18883	1162
942	18908	1142
943	18927	1122
944	18952	1103
945	18971	1082
946	18988	1062
947	19007	1042
948	19024	1022
949	19041	1002
950	19062	982
951	19081	962
952	19104	942
953	19123	922
954	19146	902
955	19174	882
956	19195	862
957	19217	842
958	19237	822
959	19254	802
960	19273	782
961	19291	762
962	19310	741
963	19329	721
964	19349	701
965	19371	681
966	19395	661
967	19415	641
968	19434	621
969	19455	601
970	19475	581
971	19493	561
972	19513	541
973	19535	521
974	19556	501
975	19575	481
976	19597	461
977	19618	441
978	19636	421
979	19654	401
980	19671	381
981	19691	360
982	19710	340
983	19728	320
984	19748	300
985	19769	280
986	19786	260
987	19807	240
988	19830	220
989	19849	200
990	19869	180
991	19890	160
992	19909	140
993	19929	120
994	19948	100
995	19970	80
996	19989	60
997	20010	40
998	20033	20
999	20053	0
