iter	MultiClass
0	1.08622643
1	1.07459638
2	1.063687601
3	1.053390148
4	1.04396608
5	1.035507003
6	1.027334962
7	1.019230496
8	1.011919192
9	1.005277159
10	0.9987691836
11	0.9926235368
12	0.986739984
13	0.9812848824
14	0.9757213207
15	0.9705749096
16	0.9660847681
17	0.9615887023
18	0.9573869185
19	0.9533438533
20	0.9493565348
21	0.9458558419
22	0.9423186378
23	0.9388940149
24	0.9356861035
25	0.9327329807
26	0.929795695
27	0.9269989791
28	0.9244626878
29	0.9221995997
30	0.9197591616
31	0.9175705794
32	0.9155596045
33	0.9134893645
34	0.9116640475
35	0.9099566582
36	0.9082645538
37	0.9066649337
38	0.9049907156
39	0.9034222279
40	0.9019507846
41	0.9005114385
42	0.8991816546
43	0.8977562943
44	0.8964750949
45	0.8952681916
46	0.8941386882
47	0.8930121532
48	0.8921260168
49	0.8910481199
50	0.8901450856
51	0.8892920443
52	0.8883999082
53	0.887648828
54	0.8868681562
55	0.8861902896
56	0.8853858929
57	0.8846895496
58	0.8840398368
59	0.8834072772
60	0.8828658056
61	0.882224605
62	0.8815742779
63	0.8809817182
64	0.8804547874
65	0.8799298727
66	0.8794653131
67	0.8789627657
68	0.878520341
69	0.878064009
70	0.8776335967
71	0.8772548823
72	0.8768553927
73	0.8764577271
74	0.8761090623
75	0.8757109021
76	0.8753071319
77	0.8749347137
78	0.8745960056
79	0.8742916967
80	0.8739573196
81	0.873659933
82	0.8733811814
83	0.8731967122
84	0.8729776759
85	0.8727094281
86	0.872445544
87	0.8721950251
88	0.8719085457
89	0.8716866903
90	0.8714825536
91	0.8712894674
92	0.8710879404
93	0.8709039253
94	0.8706970488
95	0.8705068511
96	0.8703219986
97	0.8701304209
98	0.8699211028
99	0.8697272219
100	0.8695888015
101	0.8694231639
102	0.869220809
103	0.869059687
104	0.8689170553
105	0.8687980946
106	0.8686210501
107	0.8684395227
108	0.8683164289
109	0.8681720663
110	0.8680068924
111	0.8678318
112	0.8677163572
113	0.8675839434
114	0.8674407282
115	0.8673049758
116	0.8671834875
117	0.867045883
118	0.8668951724
119	0.8667785101
120	0.8666686021
121	0.8665283561
122	0.8664143671
123	0.8663313534
124	0.8661907793
125	0.8661015795
126	0.8660020121
127	0.8658836309
128	0.8657882271
129	0.8656665843
130	0.865562476
131	0.8654763132
132	0.8653682912
133	0.8652411765
134	0.8651492078
135	0.8650625276
136	0.864956552
137	0.8648506698
138	0.8647624181
139	0.8646697927
140	0.8645381438
141	0.8644734242
142	0.8643711772
143	0.8643099703
144	0.8642339755
145	0.8641559285
146	0.8641067115
147	0.8639898171
148	0.8638984266
149	0.8638357598
150	0.8637799718
151	0.8637037635
152	0.8636378049
153	0.8635564442
154	0.8634653056
155	0.8633854657
156	0.8633118801
157	0.8632196317
158	0.8631523881
159	0.8630877948
160	0.8630345751
161	0.8629504854
162	0.8628888762
163	0.8628341229
164	0.8627839818
165	0.8627164954
166	0.8626546526
167	0.8625748766
168	0.8625276033
169	0.8624597728
170	0.8624075088
171	0.8623491333
172	0.8622848808
173	0.8622224862
174	0.8621643916
175	0.8621045379
176	0.8620580498
177	0.8619876788
178	0.8619302767
179	0.8618494477
180	0.8617809498
181	0.8617240846
182	0.8616636836
183	0.8616166979
184	0.8615529471
185	0.861494509
186	0.8614495399
187	0.8614018221
188	0.8613430029
189	0.8612999913
190	0.8612614074
191	0.8612059643
192	0.8611432538
193	0.8610876166
194	0.861034271
195	0.8609825614
196	0.8609196964
197	0.860888748
198	0.8608325608
199	0.8607937919
200	0.8607442369
201	0.8606981273
202	0.8606298014
203	0.8605778016
204	0.860538719
205	0.8604729588
206	0.8604516547
207	0.8603986996
208	0.8603465998
209	0.8602748945
210	0.8602394149
211	0.8601920461
212	0.8601554864
213	0.8601126605
214	0.8600432973
215	0.8600107122
216	0.859958504
217	0.859908577
218	0.8598711884
219	0.859836407
220	0.8597758432
221	0.8597400392
222	0.8596858588
223	0.859637884
224	0.8595960157
225	0.8595585088
226	0.859518299
227	0.8594911342
228	0.8594500236
